,MAE,RMSE,Pearson_r,Child_Adult_Acc,Child_Recall,Adult_Recall,Child_F1,Avg_Time_sec,Total_Time_sec
Audeering-24layer,11.671654163599014,15.146507211551992,0.40571867565245945,0.62,0.28,0.96,0.42424242424242425,1.4398789978027344,143.98789978027344
Audeering-6layer,12.430951966047287,14.947051803961234,0.4458211563758733,0.58,0.2,0.96,0.3225806451612903,0.6435039353370666,64.35039353370667
WavLM-Acoustic,16.36638780814013,17.943334506430723,0.4006359764269648,0.5,0.0,1.0,0.0,0.984987554550171,98.49875545501709
